Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
GRCg7b.D300693.lib1.stats.tsv	53816248.0	0.0	53816248.0	1.0	26908124.0	26908124.0	4473.0	574.0	53811775.0	548.0	53816248.0	0.0	383.0	0.0	0.0	0.0	7978139341.0	3989210347.0	3988928994.0	631312.0	631312.0	0.0	0.0	11997.0	0.01900328	148.0	148.0	148.0	150.0	150.0	150.0	39.4	181.5	73.2	244.0	40.0	0.0	3.0	0.0	0.008311616224155946	0.0010665923793126567	99.99168838377585	0.0010182798325145224	100.0	0.0	0.0007116809778340548	0.0
GRCg7b.D300694.lib1.stats.tsv	28556442.0	0.0	28556442.0	1.0	14278221.0	14278221.0	3919.0	652.0	28552523.0	620.0	28556442.0	0.0	412.0	0.0	0.0	0.0	4234142165.0	2117236916.0	2116905249.0	548307.0	548307.0	0.0	0.0	11793.0	0.02150802	148.0	148.0	148.0	150.0	150.0	150.0	39.4	175.1	64.5	270.0	50.0	0.0	6.0	0.0	0.013723698491569783	0.0022831976056400865	99.98627630150843	0.0021711388274491617	100.0	0.0	0.0014427567692081528	0.0
GRCg7b.D300695.lib1.stats.tsv	30350294.0	0.0	30350294.0	1.0	15175147.0	15175147.0	14405.0	9212.0	30335889.0	9002.0	30350294.0	0.0	5548.0	0.0	0.0	0.0	4498102737.0	2249111592.0	2248991145.0	2067311.0	2067311.0	0.0	0.0	126160.0	0.06102613	148.0	148.0	148.0	150.0	150.0	150.0	39.4	192.9	70.9	3991.0	565.0	1.0	49.0	0.0	0.04746247268642603	0.030352259520121945	99.95253752731358	0.029660338710392725	100.0	0.0	0.018279888820846347	0.0
GRCg7b.D300696.lib1.stats.tsv	33984970.0	0.0	33984970.0	1.0	16992485.0	16992485.0	5400.0	1582.0	33979570.0	1516.0	33984970.0	0.0	943.0	0.0	0.0	0.0	5036269720.0	2518334329.0	2517935391.0	742247.0	742247.0	0.0	0.0	22733.0	0.03062727	148.0	148.0	148.0	150.0	150.0	150.0	39.4	171.1	74.3	634.0	151.0	0.0	6.0	0.0	0.015889376980471073	0.004654998959834304	99.98411062301953	0.004460795463406324	100.0	0.0	0.002774756017145226	0.0
GRCg7b.D300697.lib1.stats.tsv	2838108.0	0.0	2838108.0	1.0	1419054.0	1419054.0	30220.0	24318.0	2807888.0	23918.0	2838108.0	0.0	13362.0	0.0	0.0	0.0	416895209.0	208451870.0	208443339.0	4207118.0	4207118.0	0.0	0.0	291678.0	0.06932965	147.0	147.0	147.0	150.0	150.0	150.0	39.3	167.7	62.9	9759.0	2348.0	5.0	47.0	0.8	1.0647938697188408	0.8568384289815609	98.93520613028116	0.8427445326252561	100.0	0.0	0.47080660778236766	0.0
GRCg7b.D300698.lib1.stats.tsv	1719870.0	0.0	1719870.0	1.0	859935.0	859935.0	39867.0	31910.0	1680003.0	31200.0	1719870.0	0.0	18837.0	0.0	0.0	0.0	253550092.0	126787823.0	126762269.0	5663471.0	5663471.0	0.0	0.0	406221.0	0.07172651	147.0	147.0	147.0	150.0	150.0	150.0	39.1	174.9	64.0	13253.0	2579.0	8.0	115.0	1.8	2.3180240367004483	1.8553727898038805	97.68197596329955	1.8140905998709205	100.0	0.0	1.0952571996720684	0.0
GRCg7b.D300699.lib1.stats.tsv	4826994.0	0.0	4826994.0	1.0	2413497.0	2413497.0	40840.0	34244.0	4786154.0	33724.0	4826994.0	0.0	18054.0	0.0	0.0	0.0	705429552.0	352694138.0	352735414.0	5506714.0	5506714.0	0.0	0.0	380373.0	0.06907441	146.0	146.0	146.0	150.0	150.0	150.0	39.3	162.0	68.1	13150.0	3918.0	7.0	47.0	0.7	0.8460752178270784	0.7094270264267989	99.15392478217292	0.6986542763467284	100.0	0.0	0.3740215960492182	0.0
GRCg7b.D300700.lib1.stats.tsv	15292080.0	0.0	15292080.0	1.0	7646040.0	7646040.0	21335.0	15114.0	15270745.0	14696.0	15292080.0	0.0	9716.0	0.0	0.0	0.0	2269180633.0	1134605207.0	1134575426.0	3041464.0	3041464.0	0.0	0.0	209627.0	0.06892306	148.0	148.0	148.0	150.0	150.0	150.0	39.4	187.8	75.7	6441.0	1044.0	4.0	68.0	0.1	0.1395166648356535	0.09883547561875168	99.86048333516435	0.09610203451721415	100.0	0.0	0.06353615727880052	0.0
GRCg7b.D300701.lib1.stats.tsv	1569160.0	0.0	1569160.0	1.0	784580.0	784580.0	30818.0	24450.0	1538342.0	24082.0	1569160.0	0.0	13540.0	0.0	0.0	0.0	228021496.0	114005148.0	114016348.0	4247570.0	4247570.0	0.0	0.0	296229.0	0.06974082	145.0	145.0	145.0	150.0	150.0	150.0	39.1	159.0	57.1	9401.0	2781.0	4.0	39.0	1.5	1.9639807285426598	1.5581585051874889	98.03601927145735	1.534706467154401	100.0	0.0	0.862882051543501	0.0
GRCg7b.D300702.lib1.stats.tsv	7527426.0	0.0	7527426.0	1.0	3763713.0	3763713.0	33053.0	25040.0	7494373.0	24418.0	7527426.0	0.0	15935.0	0.0	0.0	0.0	1115696879.0	557850074.0	557846805.0	4660064.0	4660064.0	0.0	0.0	332100.0	0.07126512	148.0	148.0	148.0	150.0	150.0	150.0	39.5	183.4	73.9	10641.0	1772.0	14.0	93.0	0.3	0.4391009622678456	0.33265023130084576	99.56089903773216	0.3243871145329094	100.0	0.0	0.21169254935219556	0.0
GRCg7b.D300703.lib1.stats.tsv	19834228.0	0.0	19834228.0	1.0	9917114.0	9917114.0	33106.0	25586.0	19801122.0	25178.0	19834228.0	0.0	14192.0	0.0	0.0	0.0	2933702631.0	1466856186.0	1466846445.0	4591746.0	4591746.0	0.0	0.0	311709.0	0.06788463	148.0	148.0	148.0	150.0	150.0	150.0	39.5	169.0	62.0	10310.0	2435.0	2.0	46.0	0.1	0.1669134790625579	0.12899922295942146	99.83308652093744	0.12694217289425128	100.0	0.0	0.07155307481591923	0.0
