Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
D300693.lib1.stats.tsv	53804650.0	0.0	53804650.0	1.0	26902325.0	26902325.0	48776619.0	48097572.0	5028031.0	42837542.0	53804650.0	0.0	1111997.0	0.0	0.0	0.0	7976456218.0	3988348946.0	3988107272.0	7231034519.0	7231034519.0	0.0	0.0	38256033.0	0.005290534	148.0	148.0	148.0	150.0	150.0	150.0	39.4	273.4	100.8	21838261.0	841750.0	702.0	1368073.0	79.6	90.65502516975764	89.39296510617577	9.344974830242366	79.6168026369468	100.0	0.0	2.0667302918985624	0.0
D300694.lib1.stats.tsv	28546862.0	0.0	28546862.0	1.0	14273431.0	14273431.0	25647031.0	25266938.0	2899831.0	22700432.0	28546862.0	0.0	619112.0	0.0	0.0	0.0	4232759282.0	2116526730.0	2116232552.0	3802877745.0	3802877745.0	0.0	0.0	21657261.0	0.005694966	148.0	148.0	148.0	150.0	150.0	150.0	39.4	273.1	100.2	11506306.0	444637.0	532.0	681994.0	79.5	89.841857224097	88.51038688595615	10.158142775903006	79.51988558322101	100.0	0.0	2.1687567621267796	0.0
D300695.lib1.stats.tsv	30329074.0	0.0	30329074.0	1.0	15164537.0	15164537.0	27210257.0	26757208.0	3118817.0	24359136.0	30329074.0	0.0	707545.0	0.0	0.0	0.0	4495027575.0	2247565148.0	2247462427.0	4032844015.0	4032844015.0	0.0	0.0	22997774.0	0.005702619	148.0	148.0	148.0	150.0	150.0	150.0	39.4	271.4	96.7	12199217.0	478415.0	346.0	700626.0	80.3	89.71674176402485	88.22296387947749	10.283258235975158	80.31612175168948	100.0	0.0	2.332893513333114	0.0
D300696.lib1.stats.tsv	33972966.0	0.0	33972966.0	1.0	16986483.0	16986483.0	30728234.0	30260744.0	3244732.0	27305900.0	33972966.0	0.0	628972.0	0.0	0.0	0.0	5034559285.0	2517456133.0	2517103152.0	4553685180.0	4553685180.0	0.0	0.0	22878844.0	0.005024248	148.0	148.0	148.0	150.0	150.0	150.0	39.4	271.4	98.6	13785730.0	546242.0	481.0	797919.0	80.4	90.44907648039914	89.07301175882023	9.55092351960085	80.37537847004586	100.0	0.0	1.8513897196965377	0.0
D300697.lib1.stats.tsv	2801072.0	0.0	2801072.0	1.0	1400536.0	1400536.0	2180297.0	2139000.0	620775.0	2047548.0	2801072.0	0.0	24781.0	0.0	0.0	0.0	411689857.0	205847141.0	205842716.0	321803249.0	321803249.0	0.0	0.0	1029592.0	0.003199446	147.0	147.0	147.0	150.0	150.0	150.0	39.3	262.5	94.1	1007246.0	48748.0	103.0	13403.0	73.1	77.83794918516911	76.3636207851851	22.162050814830895	73.09872791559803	100.0	0.0	0.8846970017193417	0.0
D300698.lib1.stats.tsv	1670880.0	0.0	1670880.0	1.0	835440.0	835440.0	1330817.0	1313224.0	340063.0	1192946.0	1670880.0	0.0	4492.0	0.0	0.0	0.0	246547039.0	123283342.0	123263697.0	197360967.0	197360967.0	0.0	0.0	434388.0	0.002200982	148.0	148.0	148.0	150.0	150.0	150.0	39.1	292.5	116.3	624585.0	22648.0	206.0	9173.0	71.4	79.64767068849947	78.59475246576653	20.352329311500526	71.39627022886144	100.0	0.0	0.268840371540745	0.0
D300699.lib1.stats.tsv	4778380.0	0.0	4778380.0	1.0	2389190.0	2389190.0	3767711.0	3688780.0	1010669.0	3629534.0	4778380.0	0.0	18320.0	0.0	0.0	0.0	698796130.0	349377902.0	349418228.0	553716780.0	553716780.0	0.0	0.0	1125117.0	0.002031936	146.0	146.0	146.0	150.0	150.0	150.0	39.4	242.1	84.5	1727182.0	110338.0	294.0	6576.0	76.0	78.84912878423232	77.1972928063486	21.150871215767687	75.95741653028851	100.0	0.0	0.3833935350474429	0.0
D300700.lib1.stats.tsv	15263304.0	0.0	15263304.0	1.0	7631652.0	7631652.0	13479532.0	13234242.0	1783772.0	11645982.0	15263304.0	0.0	255338.0	0.0	0.0	0.0	2265038815.0	1132531189.0	1132507626.0	2000767258.0	2000767258.0	0.0	0.0	9663142.0	0.004829718	148.0	148.0	148.0	150.0	150.0	150.0	39.4	295.5	117.4	6198201.0	209569.0	644.0	208707.0	76.3	88.3133298006775	86.70627277029928	11.686670199322506	76.30053099905498	100.0	0.0	1.6728881243536786	0.0
D300701.lib1.stats.tsv	1531192.0	0.0	1531192.0	1.0	765596.0	765596.0	531409.0	505992.0	999783.0	485380.0	1531192.0	0.0	5660.0	0.0	0.0	0.0	222724947.0	111355457.0	111369490.0	77878778.0	77878778.0	0.0	0.0	235372.0	0.003022287	145.0	145.0	145.0	150.0	150.0	150.0	39.1	254.3	96.7	233935.0	15705.0	50.0	3306.0	31.7	34.70557578670735	33.04562719763426	65.29442421329264	31.69948641319965	100.0	0.0	0.36964665437123495	0.0
D300702.lib1.stats.tsv	7485424.0	0.0	7485424.0	1.0	3742712.0	3742712.0	6583367.0	6466380.0	902057.0	6026818.0	7485424.0	0.0	77771.0	0.0	0.0	0.0	1109722953.0	554862131.0	554860822.0	976978586.0	976978586.0	0.0	0.0	3090737.0	0.003163567	148.0	148.0	148.0	150.0	150.0	150.0	39.5	281.0	100.8	3061758.0	105486.0	361.0	65585.0	80.5	87.94915291371605	86.38628887288148	12.050847086283957	80.5140497051336	100.0	0.0	1.038965862187633	0.0
