Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes
00-TM1:bin_000008	99.59	2.76	Gradient Boost (General Model)	11	0.877	33251	294.9098064939324	3068509	0.48	3049	None
00-TM1:bin_000015	99.47	2.51	Neural Network (Specific Model)	11	0.851	123747	318.3023346303502	2875181	0.59	2570	None
00-TM1:bin_000016	97.68	4.2	Gradient Boost (General Model)	11	0.865	19851	316.3762668918919	2592799	0.54	2368	None
00-TM1:bin_000027	91.94	0.75	Neural Network (Specific Model)	11	0.893	89026	321.197972972973	3186714	0.47	2960	None
00-TM1:bin_000077	96.76	8.15	Neural Network (Specific Model)	11	0.891	50136	322.27739920499715	3815390	0.48	3522	None
00-TM1:bin_000089	85.36	3.86	Gradient Boost (General Model)	11	0.887	16059	298.15340050377836	3993869	0.5	3970	None
00-TM1:bin_000115	66.36	1.58	Gradient Boost (General Model)	11	0.904	4277	272.5794344473008	1754555	0.52	1945	None
00-TM1:bin_000117	81.37	3.31	Neural Network (Specific Model)	11	0.902	6267	276.61456023651147	2483122	0.52	2706	None
00-TM1:bin_000130	63.88	13.91	Gradient Boost (General Model)	11	0.88	2718	253.35685071574642	2529686	0.55	2934	None
00-TM2:bin_000024	96.9	0.32	Gradient Boost (General Model)	11	0.887	15080	302.0405515004055	2514821	0.61	2466	None
00-TM2:bin_000091	83.13	0.43	Gradient Boost (General Model)	11	0.919	11813	280.8181137724551	1222711	0.34	1336	None
00-TM2:bin_000107	88.18	4.87	Gradient Boost (General Model)	11	0.887	12199	306.1588165680473	4367544	0.51	4225	None
00-TM2:bin_000110	70.77	2.46	Gradient Boost (General Model)	11	0.894	11054	269.0709723207949	1268741	0.29	1409	None
00-TM3:bin_000031	93.05	1.85	Gradient Boost (General Model)	11	0.899	14885	313.3792780121894	2226016	0.53	2133	None
00-TM3:bin_000036	93.08	1.64	Gradient Boost (General Model)	11	0.828	26569	291.8314487632509	2987858	0.54	2830	None
00-TM3:bin_000050	97.39	0.42	Gradient Boost (General Model)	11	0.894	157028	319.7683284457478	1096317	0.36	1023	None
00-TM3:bin_000078	90.13	3.26	Gradient Boost (General Model)	11	0.885	7942	297.71605243630967	4071000	0.51	4043	None
00-TM3:bin_000102	78.63	3.82	Gradient Boost (General Model)	11	0.846	6210	268.73868677905944	2145375	0.63	2254	None
00-TM3:bin_000116	71.46	4.53	Gradient Boost (General Model)	11	0.87	6819	268.89057971014495	1277663	0.27	1380	None
00-TM3:bin_000119	63.4	0.85	Gradient Boost (General Model)	11	0.914	3335	251.03587962962962	1420072	0.43	1728	None
00-TM4:bin_000024	94.96	6.77	Gradient Boost (General Model)	11	0.887	21888	317.2943075117371	3649952	0.51	3408	None
00-TM4:bin_000044	91.68	4.68	Gradient Boost (General Model)	11	0.887	17638	314.00523076923076	3445103	0.56	3250	None
